,Name,운영체제(OS),CPU,램,그래픽,저장장치,파워,무게(kg),PD충전,CPU_Score,GPU_Score,inch,ppi,Screen_Brightness,Screen_Refresh_Rate,Manufacturer,Value_Point,Value_for_Money_Point,Price_won
0,APPLE 2021 맥북프로16 MK183KH/A M1 Max,macOS Monterey,애플(ARM) / 실리콘 M1 MAX / APL1104 / 10코어(8+2), 용량: 32GB / 램 교체: 불가능,내장그래픽 / M1 MAX 32 core,SSD / 512GB,배터리: 100Wh / 어댑터: 140W / 충전단자: MagSafe 3,2.2,USB-PD,22074.0,11000.0,16.2,136.0,1000.0,120.0,APPLE,7.1526809671392275,186.192092981477,3931560.0
1,APPLE 2022 맥북에어13 MLXW3KH/A,macOS Monterey,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 8 core,SSD / 256GB,배터리: 52.6Wh / 어댑터: 30W / 충전단자: MagSafe 3 / 최대18시간,1.24,USB-PD,15344.0,4623.0,13.6,162.0,500.0,60.0,APPLE,6.405231739715148,490.4427791299567,1396010.0
2,APPLE 2022 맥북에어13 MLY03KH/A,macOS Monterey,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 512GB,배터리: 52.6Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,1.24,USB-PD,15344.0,5080.0,13.6,162.0,500.0,60.0,APPLE,6.468837389483591,388.38113758389466,1755590.0
3,APPLE 2022 맥북에어13 MLY33KH/A,macOS Monterey,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 8 core,SSD / 256GB,배터리: 52.6Wh / 어댑터: 30W / 충전단자: MagSafe 3 / 최대18시간,1.24,USB-PD,15344.0,4623.0,13.6,162.0,500.0,60.0,APPLE,6.405231739715148,498.5974187300159,1374650.0
4,APPLE 2022 맥북에어13 MLY43KH/A,macOS Monterey,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 512GB,배터리: 52.6Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,1.24,USB-PD,15344.0,5080.0,13.6,162.0,500.0,60.0,APPLE,6.468837389483591,398.37893997891297,1713790.0
5,APPLE 2023 맥북에어15 MQKP3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 256GB,배터리: 66.5Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,1.51,USB-PD,15344.0,5080.0,15.3,144.0,500.0,60.0,APPLE,6.294647136283481,383.841011780127,1729910.0
6,APPLE 2023 맥북에어15 MQKR3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 256GB,배터리: 66.5Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,1.51,USB-PD,15344.0,5080.0,15.3,144.0,500.0,60.0,APPLE,6.294647136283481,380.7323012328967,1743300.0
7,APPLE 2023 맥북에어15 MQKT3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 512GB,배터리: 66.5Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,1.51,USB-PD,15344.0,5080.0,15.3,144.0,500.0,60.0,APPLE,6.344818721733034,323.8573415750296,2049140.0
8,APPLE 2023 맥북에어15 MQKU3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 256GB,배터리: 66.5Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,1.51,USB-PD,15344.0,5080.0,15.3,144.0,500.0,60.0,APPLE,6.294647136283481,371.13789393431057,1786040.0
9,APPLE 2023 맥북프로14 MPHE3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 10코어, 용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 16core,SSD / 512GB,배터리: 70Wh / 어댑터: 67W / 충전단자: MagSafe 3 / 최대18시간,1.6,USB-PD,21644.0,8296.0,14.2,155.0,1000.0,120.0,APPLE,7.041233047233112,290.96004327409554,2510000.0
