,No,Name,운영체제(OS),CPU,CPU_Launch_Date,램,그래픽,저장장치,파워,inch,무게(kg),inch_per_kg,PD충전,CPU_Score,GPU_Score,ppi,Screen_Brightness,Screen_Refresh_Rate,Display_Point,Manufacturer,Value_Point,Value_for_Money_Point,Price_won
0,12660506,APPLE 2020 맥북에어 MGN93KH/A,macOS Big Sur,애플(ARM) / 실리콘 M1 / APL1102 / 옥타코어(4+4),2021.09,용량: 8GB / 램 교체: 불가능,내장그래픽 / M1 7 core,SSD / 256GB,배터리: 49.9Wh / 어댑터: 30W / 충전단자: 타입C / 최대18시간,13.3,1.29,10.31007752,USB-PD,14067,3300,166,400,60,6.427860697,APPLE,6.153101827,553.1623884,1202350
1,15994085,APPLE 2021 맥북프로14 MKGP3KH/A M1 Max,macOS Monterey,애플(ARM) / 실리콘 M1 MAX / APL1104 / 10코어(8+2),2021.09,용량: 32GB / 램 교체: 불가능,내장그래픽 / M1 MAX 32 core,SSD / 512GB,배터리: 70Wh / 어댑터: 96W / 충전단자: MagSafe 3,14.2,1.6,8.875,USB-PD,22074,11000,155,1000,120,7.820895522,APPLE,7.100901223,208.7517998,3491600
2,17203811,APPLE 2022 맥북에어13 MLXW3KH/A,macOS Monterey,애플(ARM) / 실리콘 M2 / 옥타코어(4+4),2023.01,용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 8 core,SSD / 256GB,배터리: 52.6Wh / 어댑터: 30W / 충전단자: MagSafe 3 / 최대18시간,13.6,1.24,10.96774194,USB-PD,15344,4623,162,500,60,6.550580431,APPLE,6.29410815,467.4455918,1436490
3,17203760,APPLE 2022 맥북에어13 MLXY3KH/A,macOS Monterey,애플(ARM) / 실리콘 M2 / 옥타코어(4+4),2023.01,용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 8 core,SSD / 256GB,배터리: 52.6Wh / 어댑터: 30W / 충전단자: MagSafe 3 / 최대18시간,13.6,1.24,10.96774194,USB-PD,15344,4623,162,500,60,6.550580431,APPLE,6.29410815,439.8429164,1520990
4,17204207,APPLE 2022 맥북프로13 MNEJ3KH/A,macOS Monterey,애플(ARM) / 실리콘 M2 / 옥타코어(4+4),2023.01,용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 512GB,배터리: 58.2Wh / 어댑터: 67W / 충전단자: 타입C / 최대20시간,13.3,1.4,9.5,USB-PD,15344,5080,166,500,60,6.650082919,APPLE,6.361546682,381.0267661,1759580
5,17204162,APPLE 2022 맥북프로13 MNEP3KH/A,macOS Monterey,애플(ARM) / 실리콘 M2 / 옥타코어(4+4),2023.01,용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 256GB,배터리: 58.2Wh / 어댑터: 67W / 충전단자: 타입C / 최대20시간,13.3,1.4,9.5,USB-PD,15344,5080,166,500,60,6.650082919,APPLE,6.312359799,423.8787394,1579190
6,20477921,APPLE 2023 맥북에어15 MQKP3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 / 옥타코어(4+4),2023.01,용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 256GB,배터리: 66.5Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,15.3,1.51,10.13245033,USB-PD,15344,5080,144,500,60,6.102819237,APPLE,6.242663124,378.1003188,1741060
7,20477882,APPLE 2023 맥북에어15 MQKW3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 / 옥타코어(4+4),2023.01,용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 256GB,배터리: 66.5Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,15.3,1.51,10.13245033,USB-PD,15344,5080,144,500,60,6.102819237,APPLE,6.242663124,378.9886488,1737190
8,18788333,APPLE 2023 맥북프로14 MPHE3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 10코어,2023.01,용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 16core,SSD / 512GB,배터리: 70Wh / 어댑터: 67W / 충전단자: MagSafe 3 / 최대18시간,14.2,1.6,8.875,USB-PD,21644,8296,155,1000,120,7.820895522,APPLE,6.952390615,280.5623286,2568020
9,18788777,APPLE 2023 맥북프로14 MPHF3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 12코어,2023.01,용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 19core,SSD / 1TB,배터리: 70Wh / 어댑터: 96W / 충전단자: MagSafe 3 / 최대18시간,14.2,1.6,8.875,USB-PD,26417,8920,155,1000,120,7.820895522,APPLE,7.083779723,208.9616702,3479990
10,18788978,APPLE 2023 맥북프로16 MNW83KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 12코어,2023.01,용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 19core,SSD / 512GB,배터리: 100Wh / 어댑터: 140W / 충전단자: MagSafe 3 / 최대22시간,16.2,2.15,7.534883721,USB-PD,26417,8920,136,1000,120,7.348258706,APPLE,7.050544941,242.7965571,2993890
11,18789071,APPLE 2023 맥북프로16 MNW93KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 12코어,2023.01,용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 19core,SSD / 1TB,배터리: 100Wh / 어댑터: 140W / 충전단자: MagSafe 3 / 최대22시간,16.2,2.15,7.534883721,USB-PD,26417,8920,136,1000,120,7.348258706,APPLE,7.11356147,213.5236415,3421510
12,18789038,APPLE 2023 맥북프로16 MNWC3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 12코어,2023.01,용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 19core,SSD / 512GB,배터리: 100Wh / 어댑터: 140W / 충전단자: MagSafe 3 / 최대22시간,16.2,2.15,7.534883721,USB-PD,26417,8920,136,1000,120,7.348258706,APPLE,7.050544941,242.7965571,2993890
13,19769486,ASUS ProArt Studiobook 16 OLED H7604JV-MY072X,윈도우11프로,인텔 / 코어i9-13세대 / i9-13980HX (2.2GHz) / 24코어(8P+16E),2023.01,DR5 / 램 용량: 32GB / 5200MHz / 램 교체: 가능,외장그래픽 / RTX4060 / TGP: 130W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 1TB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,16,2.4,6.666666667,USB-PD,48175,6982,138,500,120,6.286898839,ASUS,6.511949041,210.810911,3179000
14,18907742,ASUS ROG SCAR 18 G834JZ-N6004W,윈도우11홈,인텔 / 코어i9-13세대 / i9-13980HX (2.2GHz) / 24코어(8P+16E),2023.01,DR5 / 램 용량: 32GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4080 / TGP: 175W / VRAM:12GB / MUX 스위치,M.2(NVMe) / 1TB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 330W / 충전단자: DC,18,3.1,5.806451613,USB-PD,48175,16009,122,500,240,6.555555556,ASUS,6.817593096,175.6980302,3970290
15,19425413,ASUS ROG STRIX G16 G614JV-N4083 64GB램,미포함(프리도스),인텔 / 코어i9-13세대 / i9-13980HX (2.2GHz) / 24코어(8P+16E),2023.01,DR5 / 램 용량: 64GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4060 / TGP: 140W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 280W / 충전단자: DC,16,2.5,6.4,USB-PD,48175,6982,138,500,240,6.953565506,ASUS,6.765467902,274.3954957,2465590
