,Name,운영체제(OS),CPU,램,그래픽,저장장치,파워,무게(kg),PD충전,CPU_Score,GPU_Score,inch,ppi,Screen_Brightness,Screen_Refresh_Rate,Manufacturer,Value_Point,Value_for_Money_Point,Price_won
0,APPLE 2021 맥북프로16 MK183KH/A M1 Max,macOS Monterey,애플(ARM) / 실리콘 M1 MAX / APL1104 / 10코어(8+2), 용량: 32GB / 램 교체: 불가능,내장그래픽 / M1 MAX 32 core,SSD / 512GB,배터리: 100Wh / 어댑터: 140W / 충전단자: MagSafe 3,2.2,USB-PD,22074.0,11000.0,16.2,136.0,1000.0,120.0,APPLE,7.06673773374673,183.95489680616024,3931560.0
1,APPLE 2022 맥북에어13 MLXW3KH/A,macOS Monterey,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 8 core,SSD / 256GB,배터리: 52.6Wh / 어댑터: 30W / 충전단자: MagSafe 3 / 최대18시간,1.24,USB-PD,15344.0,4623.0,13.6,162.0,500.0,60.0,APPLE,6.263040856677031,479.55535230794794,1396010.0
2,APPLE 2022 맥북에어13 MLY03KH/A,macOS Monterey,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 512GB,배터리: 52.6Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,1.24,USB-PD,15344.0,5080.0,13.6,162.0,500.0,60.0,APPLE,6.342547918887585,380.79887120405294,1755590.0
3,APPLE 2022 맥북에어13 MLY33KH/A,macOS Monterey,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 8 core,SSD / 256GB,배터리: 52.6Wh / 어댑터: 30W / 충전단자: MagSafe 3 / 최대18시간,1.24,USB-PD,15344.0,4623.0,13.6,162.0,500.0,60.0,APPLE,6.263040856677031,487.5289656075219,1374650.0
4,APPLE 2022 맥북에어13 MLY43KH/A,macOS Monterey,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 512GB,배터리: 52.6Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,1.24,USB-PD,15344.0,5080.0,13.6,162.0,500.0,60.0,APPLE,6.342547918887585,390.60148904030603,1713790.0
5,APPLE 2023 맥북에어15 MQKP3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 256GB,배터리: 66.5Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,1.51,USB-PD,15344.0,5080.0,15.3,144.0,500.0,60.0,APPLE,6.284384570472554,383.2152112294305,1729910.0
6,APPLE 2023 맥북에어15 MQKR3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 256GB,배터리: 66.5Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,1.51,USB-PD,15344.0,5080.0,15.3,144.0,500.0,60.0,APPLE,6.284384570472554,380.11156901182807,1743300.0
7,APPLE 2023 맥북에어15 MQKT3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 512GB,배터리: 66.5Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,1.51,USB-PD,15344.0,5080.0,15.3,144.0,500.0,60.0,APPLE,6.347099052284496,323.97373604155376,2049140.0
8,APPLE 2023 맥북에어15 MQKU3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 256GB,배터리: 66.5Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,1.51,USB-PD,15344.0,5080.0,15.3,144.0,500.0,60.0,APPLE,6.284384570472554,370.53280408908716,1786040.0
9,APPLE 2023 맥북프로14 MPHE3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 10코어, 용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 16core,SSD / 512GB,배터리: 70Wh / 어댑터: 67W / 충전단자: MagSafe 3 / 최대18시간,1.6,USB-PD,21644.0,8296.0,14.2,155.0,1000.0,120.0,APPLE,6.758988117552029,279.2970296509103,2510000.0
10,APPLE 2023 맥북프로14 MPHF3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 12코어, 용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 19core,SSD / 1TB,배터리: 70Wh / 어댑터: 96W / 충전단자: MagSafe 3 / 최대18시간,1.6,USB-PD,26417.0,8920.0,14.2,155.0,1000.0,120.0,APPLE,6.925540724327824,221.90204788633812,3210990.0
11,APPLE 2023 맥북프로14 MPHH3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 10코어, 용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 16core,SSD / 512GB,배터리: 70Wh / 어댑터: 67W / 충전단자: MagSafe 3 / 최대18시간,1.6,USB-PD,21644.0,8296.0,14.2,155.0,1000.0,120.0,APPLE,6.758988117552029,279.18281849788843,2510990.0
12,APPLE 2023 맥북프로14 MPHJ3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 12코어, 용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 19core,SSD / 1TB,배터리: 70Wh / 어댑터: 96W / 충전단자: MagSafe 3 / 최대18시간,1.6,USB-PD,26417.0,8920.0,14.2,155.0,1000.0,120.0,APPLE,6.925540724327824,214.81139091776467,3314010.0
